,H3K9me3,H3K79me2,H3K4me3,H3K27ac,H4K20me1,H3K27me3,H3K36me3,H3K4me2,H3K4me1
3-136779000-137716000,5.24119484330783,2.15556020146346,2.03261056056796,1.62285493080422,3.21429054933611,5.72004800438897,2.86929923552967,2.77828990901572,1.9299713639789
3-58545000-63831000,6.0073755339362,2.07717201751919,1.89876248320972,1.65257922848665,2.76612157417119,3.91437131046265,2.48570824485443,2.60206434747206,1.96617045419695
3-64004000-65792000,5.5531133327016,2.19794408291154,1.89841763484561,1.61544533206152,2.68493194987198,3.77518625731612,2.37309487555716,2.41650473351459,1.81856461103646
3-66126000-69048000,4.24630098452883,2.64473857357309,1.98982403048644,1.84475857048771,2.82003184876971,3.90880118232321,3.20305457412771,2.58038888781188,2.04128857347899
3-73132000-78731000,6.74885448473902,2.24041066676732,2.24587204077724,2.6133795899275,2.78730598836684,3.58801620268081,2.90004903866754,2.87467658956132,2.15759291753071
4-11000-470000,14.5832071713147,4.26674877625138,3.75325557955364,3.05173180076628,3.29266616314199,3.6247895944912,4.45595415062237,3.70213306131701,2.39274281805746
4-190469000-190680000,8.66221569906501,4.19710872162485,5.10838969903816,3.2571237458194,5.15158489234028,8.43815001943257,6.25794125572622,6.37240424028269,3.62405477621911
4-26439000-30717000,4.7107731608555,2.14331893520844,2.01907123987512,1.63620666768775,2.35168933032099,3.02392695195893,2.88089251609417,2.73313238551295,2.20900557842374
4-31369000-33600000,4.46737468556353,1.83252768943963,1.66268133092023,1.50668214628237,2.14885425873378,2.26831652338726,2.94365455538861,2.47843493552169,2.13754987474723
4-34900000-37584000,5.53108098746772,2.13509150245797,1.77351255748143,1.67541068888437,2.4582090709394,3.44583597261183,2.93447460500963,2.57920110753695,2.32692689398965
4-42103000-47000000,5.39296334220766,2.0542558771637,1.95040726134089,1.7204170681689,2.33066523167134,3.21524401960625,2.58638388664484,2.60146343739792,2.06939981306406
4-47600000-48062000,4.40190889370933,3.15651837524178,3.62346236204909,2.61931400416904,2.72332462442848,2.77724480061057,4.95434227824608,3.68201749871333,2.63268273817197
4-48871000-49660000,12.5314392490874,32.1473541045035,20.6607779599869,14.3778667866787,38.2119204264725,26.0248823941547,24.8710302640052,32.0888893900101,19.6787537297897
4-52661000-54100000,5.8436391694725,3.55070375335121,2.91178315174063,2.57729736388273,3.0193494984906,3.46118888662138,3.82889176166412,3.26103277354443,2.50806785104888
4-54700000-56203000,4.31725984251969,2.46620741957909,2.24647951960162,2.55541129957914,2.83323381192355,4.71947010253153,2.59611376762094,3.05174597583741,2.61269730818531
4-58026000-66283000,5.14674281412369,1.73491931532614,1.57595696565013,1.36346892052399,2.10525672534042,2.4542393799881,2.43536346610762,2.18754523416899,1.69590245351897
4-68589000-71529000,5.98454226528567,2.4644667702923,1.91452982513483,1.97992092434072,2.29759551046838,2.84523911449934,2.81520705409889,2.72799340070118,2.43113888954158
4-71898000-73162000,5.73524411593075,1.80097386726828,1.5654939909474,1.48007525870179,2.36909993108201,3.50301723331983,2.35437983297247,2.26611105819602,1.91248430374727
4-79862000-83200000,6.65444027131566,1.93065364907907,1.8392453875561,1.87092467976089,2.53923265221985,3.79650876687429,2.5644364618501,2.65305520480832,2.3092879040028
4-8715000-13568000,7.28129232436827,2.50378096800656,2.13598977792874,2.87878787878788,2.70462013038639,3.88803987865765,2.71233205898416,2.75293619437413,2.62115063596176
5-53000000-53200000,5.76026655896607,2.22389473684211,2.23218335343788,1.86346782988004,3.23246760725598,3.63569299552906,3.47319313139109,3.08409469530907,2.50276638752527
5-53800000-54454000,4.93427938734084,3.0594899275578,3.05316138650764,3.02391347099312,3.75862036528964,6.97535875057418,3.70791243993593,4.57612540192926,4.56105206366334
5-61913000-64024000,9.14002540801611,2.18036276494649,2.06555011901613,1.71776506673299,3.012153013485,5.01803060876044,3.27414031939709,2.9367817376725,2.21277363219914
5-66505000-67575000,5.22302821997106,2.29406676211288,2.33894613720101,1.84455320399765,3.30790973480481,6.31827593015712,3.09920596431544,3.17025209397344,2.32982999495034
6-101467000-105700000,7.58615257022857,2.15482243469353,2.13846107491243,1.94282903419316,2.63546633442715,2.99633532910737,3.81889905029898,3.11137072938185,2.66388731209923
6-32446000-32600000,5.10128834355828,2.27060317460317,1.79617117117117,1.64984126984127,3.09950211366839,9.0224,2.72194376952447,3.08887361588393,2.17024691358025
6-38140000-41372000,6.24887721395539,3.38573352341265,2.96547484103933,3.26731139240506,3.88138572495921,7.48519322340185,3.6394395397847,3.73602752118239,2.99631552604358
6-44435000-45337000,6.01215750120598,2.66049156329455,2.43416617171517,1.98697191053543,3.33126882283619,5.19659684025746,4.14112762336926,3.49015858465487,2.96888340807175
6-45678000-47083000,4.59904650580279,2.63205969559201,2.97788662590891,3.46043683441219,3.66263300678222,6.53643992614131,3.7119823746348,4.51313576399151,4.7553435498053
6-47226000-48100000,4.70918922487786,6.6025809002834,3.79216052631579,3.06427987669367,3.72698833175654,3.9525310806503,5.30383665238215,4.85361942405421,3.99122161511855
6-49100000-52138000,9.61042860379068,2.49118148400272,2.35999218783907,2.61597353447135,3.02867688431661,4.55033798644463,3.65710457777048,3.40240590825167,2.73887658605556
6-57204000-58779000,23.2777169199042,10.8513083184435,10.1325986665645,8.34229091598711,11.4627308920053,10.6014293066028,13.5257093551317,11.3684268155225,9.14240540728869
6-61880000-64057000,10.532145991867,2.43950518619282,2.17069846431798,1.78769561961812,2.89673280936101,4.01690059610684,3.41632954283383,3.02123074174965,2.14962458176014
6-64461000-65100000,5.82712028229518,2.01355334828581,1.85273563900846,3.32232765238753,2.34306627101879,2.27152208452494,3.01815876173308,3.17257666203287,3.55638126009693
6-65700000-72081000,7.03386189661383,2.60387037547049,2.24846380789022,2.00687700893928,2.64917538913136,3.79374179234059,3.43763890207997,2.99584000251568,2.3264495937406
6-72202000-74093000,4.70365103338633,2.5152844796543,2.37875416635805,2.1928098257438,3.11091153430135,5.40027929347375,3.31288624721386,3.29554447602628,2.64425646741362
6-76537000-79661000,6.90917008242872,2.09873484759327,2.12457527826596,1.94864711447493,2.68115560156213,3.74013430656934,3.57193047542188,3.14445125364603,2.61852775482611
6-86392000-87849000,6.89562497164375,2.1772860995342,2.15557493188011,1.69832632785632,2.75456344418167,4.27970119719007,2.90072140036542,3.05440682593857,2.44818127278601
6-90598000-92600000,4.12569967666742,2.75302064383453,2.47022333909219,2.28280881751608,3.26708942495127,5.52860371134021,3.74756166883048,3.47148774161158,2.89296935989999
6-93600000-99740000,5.87915743502343,2.58719281378697,2.46861573793972,2.26025316455696,2.85127940747653,4.15480651003193,4.00330441237879,3.51694509643475,2.57740525358731
7-33950000-35838000,6.16875631487095,3.75862177405572,3.38615423771952,4.25429223744292,3.48270259469643,6.00551549026397,4.3355195478771,4.80209832597685,4.58437558866858
7-36492000-38217000,4.96661336941148,2.92066624921728,2.65953415369161,2.77226610443884,3.58150320522746,6.73404391740494,3.57974574885546,3.8362980567594,3.72316194354884
7-38380000-39605000,3.87850792858035,2.50769363272839,2.42381057471264,1.8560957749753,3.76773164787045,7.90703791302719,3.81016369132493,3.21679131964031,2.2604205997278
7-48144000-51240000,8.25154209119759,4.43820034662045,2.71756077306357,2.94842595102557,3.85797200359587,5.43076975131111,4.36514088909601,3.61826271536871,3.32471773480858
7-51437000-54826000,5.57572411737611,2.3811922405726,2.15308312045589,1.68673167208378,3.136934078699,5.75646853781635,3.16167142509351,3.00957371529285,2.18953075971383
7-55331000-58054000,17.4075998506299,4.56954220756105,4.04482421761878,3.63553202543232,4.12499728124932,4.51176127489599,4.62203322072072,4.47872881775431,3.08567421691193
7-61054000-65325000,20.1840507159059,7.73540425914547,6.07456721298294,5.37694505533802,7.87594562561274,6.77975681580697,7.34740081303082,7.69068814055637,5.44923530530721
7-66796000-68500000,8.5678784333389,2.27671001240638,2.1039681928947,1.6270528170605,3.00331929613476,3.99192867978637,2.63470014087342,2.61367708450863,1.69519081932212
7-69400000-72277000,8.5479031212874,2.34348516639664,2.18209705143462,1.70799055101936,3.07839560486727,4.44161414314765,3.16833743757652,2.783647515651,1.96521419655684
7-77566000-79685000,4.8897760302608,2.2054323158063,1.97393710352274,1.69960319714367,3.16212431024341,6.7528591469089,3.39440208493434,3.06610432942708,2.48123482768354
7-81401000-83769000,6.33299954572003,2.55042288969103,2.3187566280362,2.15632758799351,2.94526950903703,5.39038701204348,4.31534022802665,3.45502345073562,3.14344343179713
7-84426000-87881000,8.06248877536767,3.77986361636604,3.14996255601252,3.01454973833851,3.05268945993031,4.61164588239836,4.58993100111289,4.04375124199437,3.23987486294862
7-87989000-91566000,6.897625157007,2.9397954554827,2.87804997365846,2.44181877686383,3.17580189818809,4.59417870862396,3.99285519244735,3.80958157117543,2.90643031676218
8-13436000-17012000,6.20066171742562,2.4522737388724,2.07428548855399,2.10141180283842,2.77741996734136,4.40498836151157,3.5070639892278,3.22093597251125,2.78359048885316
8-1990000-6263000,3.95601495871125,2.33915920321186,2.22991926721589,1.81710598328526,3.23731673582296,5.67172869549686,3.04437511035774,2.96123921764253,2.12481326372555
8-26526000-27125000,3.95915288077581,2.30924714229405,2.21518939032535,1.81449425713227,3.61853405945898,9.6208987949624,3.14521937673558,3.14778323739997,2.39142040741082
8-31047000-33244000,4.62279873049458,2.36889251971301,2.31232254464286,2.02425618989155,3.16769239226033,4.81903417796111,3.47196566411541,3.61376342430425,3.34641041827406
8-33383000-36682000,7.89227224810939,2.20541047056427,2.11156960448458,1.69279697016224,2.87301407992848,3.84627314564743,3.00542495226564,2.82883883603805,2.06386184763506
8-38961000-39752000,4.57925303152789,2.07920352981106,1.96433962264151,1.5941280972417,2.78460482250502,5.87109123013537,3.46825368468066,2.84439550561798,2.33111334002006
8-42897000-43838000,15.7166940669539,8.86368607029942,6.55940345193543,7.1236275862069,8.27229413185221,9.15886213408876,14.874887138712,10.1719353538971,6.96285998945086
8-46839000-48164000,20.2687100348211,4.98304423781347,3.87009504278897,3.2849757637245,5.69214123352023,5.42681361460361,4.98614456701772,5.21331517373843,3.42466214222485
8-49852000-52700000,7.6135816437179,2.24570409770303,2.19308817224789,2.45968996464509,2.87655645180825,3.57404983350557,3.66005485940766,3.46014088227525,3.03152019961105
8-53753000-54718000,6.62449145790918,2.84889534883721,2.35194800461641,2.07565310166133,3.42700552751742,5.86421069660595,4.10309664011084,3.41122988454509,2.8556365933498
8-55377000-56654000,5.51036371151064,2.26550089674609,2.2143636186581,1.94073751662435,3.40195338512764,6.58151219964746,3.07633645990923,3.08729827928978,2.35756577099523
8-59579000-61427000,5.63706244164973,2.37655043215396,2.40730592344134,2.48065568794111,3.06004158004158,4.4817016599712,3.71960221076175,3.80095987867704,3.54993069600626
8-61795000-62459000,5.03181368821293,2.40151501568803,2.43633745192701,1.99100074286321,3.79953325554259,8.20099538045847,4.10518764898276,3.50341295623925,2.90975182481752
8-62711000-66509000,8.2129890813432,3.46459314084083,2.39424503135765,2.30301272770491,3.1666427923096,4.82676593585414,3.43995917738581,3.29607149959641,2.63232602228764
8-6641000-8023000,4.27751573316551,2.18268962797423,2.52286943471736,2.14452692384304,3.38959735973597,8.1366803318692,2.79072036301758,3.23979903602647,3.12988987161198
8-68268000-69500000,5.21768207770506,2.23073160678711,2.00817846218753,1.61001423246357,3.21154321574594,6.43953491689849,3.00961232635129,3.00752781879074,2.17501953952634
8-70100000-71043000,5.75324054156649,2.39920332470791,2.54061553613197,2.45563847795687,3.30854086704839,5.76937648640265,3.7442692564778,3.66823951558645,3.28051261328869
8-71575000-74164000,7.53730196299835,2.42941070708949,2.38742707793969,2.15796976113083,3.26347408701807,5.88828596037898,3.36709086707874,3.41319348736657,2.95376336191073
8-75269000-77300000,6.45735438513805,2.12508790814496,2.06356132248369,1.7324303494707,2.66367423830743,3.5604231966461,3.54835017418583,3.23887356568365,2.44267492731176
8-78100000-80559000,7.10436372282989,2.29591172897827,2.41496742812473,2.24533608035024,2.78316579316665,3.61711747111606,3.96151997883038,3.73997538748088,3.30427710843374
8-82704000-87294000,11.2012733655558,2.46542822774659,2.60224210896074,2.20319882979835,2.98555576679341,4.42717067471522,3.4490827107702,3.32054723454104,2.52821964679912
9-22279000-26850000,5.99778857122487,2.21677641127492,2.17594756963408,2.29561022047904,2.77847516493516,4.06858880014702,3.41933401050402,3.14295610525394,2.63079525027217
9-27574000-28766000,5.77988064236111,2.40352625727552,2.17468991392629,1.73319700614809,3.2613604002309,6.82836465495289,3.59935906010993,3.3636046349295,2.59710637563627
9-28929000-32373000,6.02560141038719,2.76407451336078,2.36153029163163,2.00348883163661,2.83729114075016,4.22103529973918,3.94082280214406,3.47282578096061,2.75432058017532
9-38077000-47312000,7.28995919848477,2.11894408672263,2.52533742440097,2.24809109979023,2.65191146030067,4.70394505900945,2.97519058170266,2.86585193889542,2.14154379694426
9-65470000-71167000,9.33459249308982,4.1726910356832,4.87812465828321,5.08629600987248,4.61909817081817,6.56172923255565,5.78793047285011,5.63506330847962,4.23844152458418
9-7052000-12722000,9.61371509797191,2.23046352201258,1.99992828511788,1.65067009459771,2.7226451018528,3.55717823659401,3.37139895577396,2.80458500216166,1.99927208441523
9-75230000-79790000,5.50704067596777,2.98233967042671,2.82726023885028,3.33797198132088,3.27281106225706,5.67876804383681,3.76176433934636,3.93903273876722,3.45426933967607
9-80650000-81300000,5.49175469380593,3.5924866951894,3.99279160523805,2.89639198218263,3.65083030046551,5.00645096260458,5.01030076016305,4.24433534162287,2.68192254155408
9-81900000-86258000,8.40216028210035,2.62154555527755,2.47273194436687,2.30027124352796,2.95726128413195,3.63296745426512,3.43214729295343,3.25332076848249,2.55317175521184
X-100485000-102492000,5.22669735599622,3.32181973170622,3.3831468416735,3.67907569721116,2.72224851190476,4.45013371276382,3.26158025584234,3.33245737266893,2.19452006848012
X-142772000-146931000,7.31192460060589,1.81881838577921,1.63719296693575,1.38646422874697,2.21773082753808,2.44900185442745,2.37227455775293,2.26025429809707,1.77190532878675
X-25054000-30619000,9.44196516679287,2.13459000942507,1.96859913463986,1.78127608632349,2.74494158639065,3.82915938571251,3.20449557264244,2.79393105965099,2.09415464149247
X-3857000-8691000,9.8242752056866,3.23792818462548,2.41007662835249,2.5663662535987,3.24256566735322,4.41214840557515,3.72966555234083,3.29476357347654,2.56666151828289
X-41639000-43416000,6.43717815344603,3.22690224544331,2.60763403904317,2.19648321717536,3.36629952068864,5.0998503413746,3.66834065998476,3.74619279004119,3.22250864858833
X-49356000-52911000,6.22256341789052,2.23710520100146,2.25089413953488,2.00336787812216,3.36930985488274,6.79722423903937,3.0584930214788,2.9976564964377,2.24771612560074
X-54666000-58582000,11.1492170064747,4.09393511278871,4.00383262860595,4.81443254302564,3.81381359887973,4.95386857043612,4.54020342526333,4.65352186842507,3.25293818101308
X-61682000-64808000,12.60779484808,4.83761131342017,4.05749697605032,3.27092191145246,4.84787024456522,4.30233485904504,4.77830665032574,4.76126355060165,2.98912690880856
X-64959000-67402000,7.71238763478222,2.19017885287467,1.99583786913723,1.76129349470499,2.85364752086402,3.43035108700994,3.24216830557889,2.77210353244972,2.18758570222347
X-68500000-69498000,5.85590830528518,2.7537944284342,2.90471899165804,3.11671866676813,3.45933302019728,5.85692443770533,3.52770967609508,3.38971070439166,2.35434052757794
X-71941000-73100000,6.19831046883324,2.91560140735882,2.47390356949377,2.00015289196596,3.20587426723267,6.26332099985878,3.45438735733099,3.25384343920436,2.33742135578201
X-73530000-76782000,6.79561048326988,3.70847238428627,2.76634962076028,3.77297780797101,2.91180732128027,3.9425939867767,3.61312034249783,3.23581240849483,2.37442788289896
X-77396000-87900000,6.92003896896568,2.61895600683875,2.26867349263868,1.95258276410592,2.58161658419769,3.21325284892249,3.47503781032663,2.91882343208537,2.10861356636703
X-88600000-100063000,7.07971988068992,2.3460918886583,2.11709237707117,1.99831252067801,2.65833073312999,3.31478164836766,3.67845305708177,2.99627835612953,2.47819325352091
