,H3K9me3,H3K79me2,H3K4me3,H3K27ac,H4K20me1,H3K27me3,H3K36me3,H3K4me2,H3K4me1
11-57569000-59310000,5.42978536957074,4.16729082226414,3.72637249974872,5.21300705502923,3.58134837764548,6.30453564628729,4.4060346984736,4.60269530689375,3.26626403219462
11-59438000-60593000,6.25159055727554,3.5156280973928,3.47202703873819,3.57729194596267,4.23220163934426,8.49246018588294,4.35790735883319,4.62549319673443,4.00043295815522
11-78296000-80000000,6.39079189472458,2.86299496613914,2.69791121753546,2.1817269285994,4.39802055891317,7.51803771830799,3.72294108490933,3.83730661085389,2.70491643377719
11-80600000-82547000,8.94272337555994,2.56235663562074,2.33699739762496,1.95418617154737,3.40229410104431,5.17879126849692,4.16436935089647,3.55815101834184,2.73881386138614
11-88225000-92735000,7.75557090729655,2.77333770191016,2.45558322376365,2.18253842890245,3.2168326622152,4.91158153006337,4.06502560600888,3.51526960200978,2.73315852636823
12-10774000-11883000,6.79191451843144,7.30408443271768,4.12367584579072,5.01034095609525,4.01519696900534,6.33913426708525,6.12399637649397,4.85270793524895,3.20829364904714
12-15972000-19301000,9.71138408650006,3.0688267272907,2.61180248280561,2.66450124688279,3.05422287220736,5.14648188409267,3.75922008547009,3.41959466793747,2.55215320134937
12-1915000-2896000,5.87552557813595,2.69738032122252,2.73830173589876,2.08902047803208,4.38810254542143,12.1377125877904,3.06126379779235,3.21873516116767,2.33350673054985
12-20841000-25315000,6.54836604870956,3.0044173276388,2.72747085717746,2.60466848153765,3.2191464404472,6.24727635327635,4.14501638254428,3.49439860768451,2.55283386979417
12-27943000-29687000,6.79804643013579,3.6690125646711,2.9746569625056,4.0647949266389,3.29389469519633,4.66308674456396,5.17945158308716,4.10719604094028,3.62845618697725
12-3234000-6150000,5.38465589756951,2.92975343861437,2.89356833344797,2.60143738267632,4.02586081067754,9.43218726104909,3.56150958298231,3.42459229701596,2.30405112072355
12-32900000-34856000,14.0862360425286,3.80267433041951,3.90886909891794,4.17595862518325,4.08101770475099,5.29097659347099,4.4919526367285,4.78004891764007,3.52764255889793
12-37856000-38700000,14.4603367551327,4.39377632576863,4.20952777199917,3.19696161832675,5.09529219006008,5.91826120231125,5.87426222515221,5.59361970410222,3.68462879130828
12-39300000-45588000,9.34698994509674,3.91880961668363,3.33921597430992,2.90796418096602,3.82596882659795,6.18067142884873,5.40105958039747,4.66727242346895,3.62771352152885
12-58350000-62651000,6.09212499066677,2.50577483394422,2.43471579218107,2.74391518009828,2.94687072514004,3.91558507886172,4.03299785732291,3.66100756009744,3.34731374080507
12-72321000-75885000,9.2934558244595,2.40197932432086,2.25154219871878,2.22907628437987,2.67834869672457,3.74758344486984,3.42219287346186,3.21248424322555,2.41022986766214
12-8259000-8808000,5.01122324159021,2.21425958702065,2.82169204350315,3.04819198092115,3.11184037359372,6.86684173993522,3.18435379847558,3.55096409289571,2.97144939086872
13-19020000-20223000,8.63382224563516,2.99435617206109,2.66095613117578,2.18732699032284,2.68963588631435,4.6568471463181,2.84320921652046,2.77048876909254,1.92719657556799
13-22088000-23900000,4.4476910356832,2.32660693416439,1.96426084741445,1.62523109366762,2.93143366116163,6.77724124437488,2.52941928170248,2.46736997417927,1.78416835568589
13-26000000-27499000,4.22477963917526,3.606665129683,2.46868614149245,2.23751135444534,3.14978342169071,7.31364446280017,2.87472839652918,2.84369740845662,1.99201979525496
13-28875000-30013000,4.1364009526478,2.75816873773708,2.73936435596066,3.49208676377454,3.03941595525464,6.99789065975766,2.82354552970355,3.61379366737837,2.99315987798313
13-31636000-32471000,4.90444379276637,3.01251110870272,2.97316288520149,2.81382515510434,3.04978740734707,6.36129787641094,3.3046976647206,3.33912151562689,2.3369889610898
13-35500000-40604000,4.53742060743965,2.77560002258909,2.70869248781723,2.69201604327954,2.68591479297027,4.66069859448938,3.37259332356796,3.24789614007163,2.55066322908493
13-53278000-60382000,8.10086233291443,2.05357892406464,1.86898758105812,1.52839786096257,2.57119134423145,3.60084558925819,2.98914350272374,2.54195401045415,1.89061800894855
13-60755000-63700000,7.00864135500739,2.50426319226344,2.19118099379541,2.02800408893432,2.64918188628555,4.04433237906482,3.64411208255697,3.05304396963819,2.19258951445343
13-64300000-66500000,5.7359203397911,2.14161790017212,1.94861080657792,1.79733794295592,2.49225552790102,2.82141134552274,3.72118368515421,2.90660548193267,2.40043385055125
13-67800000-73274000,6.903564320797,2.67327662070989,2.01290757866574,1.96909391693951,2.65910771803342,4.07592252829772,3.53283617622105,3.2011592608175,2.38281387727427
14-19000000-21503000,8.85365649963689,4.59074643249177,5.45749062485881,6.01160099313568,3.83141594269166,6.3070783847981,4.77842319384159,5.76302459534757,3.47901364398713
14-21983000-23186000,4.04899426464564,2.90687422314294,3.33766457100592,3.53204281588039,3.53744004216815,8.29891054328473,3.58814405452703,4.44395093785234,3.71164388714734
14-23799000-24488000,4.42444783197832,3.26318985236016,4.92547165744666,3.9245719506624,3.81376917562724,8.01715672499681,3.83142568930733,4.89346455770357,3.26147355912062
14-24912000-31051000,5.69037474470601,2.82674610801461,2.20965577262213,2.06942637300004,2.95243065898249,4.48161703894472,3.54632979151111,3.28780037309463,2.72268733478394
14-31155000-31350000,5.98559062218215,2.4303156384505,2.13463943841736,1.93942569992821,3.00374431990306,4.7292832289492,6.01261772151899,3.23606736842105,2.58568663353387
14-33040000-34369000,3.72842105263158,2.417692740574,2.18668097665683,1.7607945403096,3.62203082642708,9.08551290171001,3.31617258991275,3.36547355548762,2.65179877112135
14-36345000-37410000,4.13489018209123,2.84007004763239,2.89817873602797,2.26935530903328,3.46917568860466,6.45792574060386,3.80192177435421,4.01363632943301,3.48305523982723
14-39902000-45383000,5.30598136084531,2.10187834954992,2.00924641343938,1.88973451327434,2.57149042742654,3.35782080067782,3.46665148332123,2.91584995219232,2.31713249204336
14-45729000-50034000,6.56956525625745,2.15341608384265,1.92943524431242,1.58145517912508,2.71183202964183,3.83528020600393,3.19376615720713,2.76158841606789,2.1153840055204
14-51350000-52455000,3.767984,3.68353156450137,4.04020652808333,4.33498003072197,3.46827352609101,4.197243742733,5.15375102279369,5.22194960345347,4.55456495828367
14-52600000-53092000,5.21358063502043,2.81940024647405,3.53365691961643,2.87635436583811,3.10205765534914,3.19713676226594,5.01376161401646,4.7753705701718,4.21720626114524
14-53558000-54853000,4.82213129396003,3.33261578000514,2.98475581542086,2.8163715783343,3.3766213141812,4.36912928621871,3.82531106471816,4.31717374425133,3.88402500446508
14-56172000-58644000,4.4024358974359,3.38372233343672,3.00054339486393,3.81358121964382,3.61240553940845,6.89644547563805,3.99626553112057,4.03993661173017,3.83777668751789
14-59971000-61066000,4.3740164162493,5.30707727330214,3.8659869193359,4.47104958402662,3.43346500204666,6.56928817706596,4.56125706214689,4.59053286367384,3.27898622589532
14-62325000-63815000,4.73833409506399,2.88362368091576,2.69694429123001,2.62061763546366,3.24650271218239,4.51923568668774,4.57943089079839,4.03720200686559,3.75179022825882
14-65855000-67612000,5.11959690939573,4.14723750881919,3.01245228230461,2.38258751657892,3.46668410563029,5.61772897233046,4.83789714033182,3.52897253403391,2.55866201175663
14-72131000-73350000,4.52485508900046,2.59735485369252,2.45738225046116,2.09415715105063,3.84529933572637,8.51747620266716,3.85480248989586,3.39185331414996,2.87032637409459
14-82016000-88845000,6.22255116950911,2.28623353459392,2.18060820165179,2.00517631693513,2.90821914024739,3.66658045670668,3.68515360743611,3.37336644671646,2.92499233163091
1-49000-666000,4.39483125458547,2.73966809621481,2.57501404757445,2.67655979202773,3.50903664921466,7.88997288076284,3.53912977292909,3.78504225718372,4.20245952462969
15-20001000-22824000,17.0641027327196,3.43868211657052,3.84011450541184,5.3266900899039,4.255166850607,7.94988096538168,5.3746831981604,4.96668960308803,3.91452405766892
15-23115000-29989000,12.2584665313838,3.50738414425926,2.66422761238761,2.13328735427605,3.14522610104581,5.10422715636378,3.87492932991578,3.10916087325279,2.08955464046942
15-30169000-30905000,4.39724532224532,2.64086338898626,3.22750590566182,2.75918114821217,3.17803304261505,6.13021305263158,3.700756139595,4.21923830250272,4.00976791120081
15-31043000-31449000,6.09452421410365,3.18627582017011,4.11580524344569,3.81028634973589,3.58090698273641,4.31007846114908,6.30968755112056,4.77985628506743,3.43099975068561
15-31788000-34309000,4.70221227621483,3.19637376040728,3.04481650700074,3.20582657548873,3.64265148629958,7.21553412797248,3.96788274258333,4.08642361887721,3.47794007931833
15-35317000-39363000,5.2805961298377,3.30682025861309,2.88461137765593,2.87277300416227,3.38515835329383,5.59550456183514,4.29183350213352,3.84598857786358,3.23328568801716
15-39713000-39864000,4.89396593673966,2.4680265654649,2.43877811346089,2.05628278221209,4.00862770847012,5.04627960595263,3.56314503112751,3.51265495867769,3.21481024375193
15-44198000-44539000,3.58329618768328,3.1304657705533,3.37025724343352,2.50232599379341,3.96096499790824,5.39515695067265,4.77346849315068,4.96096633983625,4.69075085727799
15-45084000-45676000,5.7805214806809,4.41322851527604,5.79498668851116,6.48430970000796,4.36943243043767,7.17419946199063,5.55502600780234,6.68235039078099,4.60006732646603
15-45974000-47971000,7.35609667974833,2.82520362131724,2.74510795962693,2.60837622005324,3.71226531875387,5.60473547954802,4.54927569042782,4.26512651026711,3.41666594237539
15-48225000-48604000,4.33525704225352,2.89798092931739,3.0500823880597,3.32011551983928,3.93908188585608,5.5477857639694,5.02562274298886,5.08587297505786,4.90788555751519
15-53039000-55471000,8.61876816380449,2.58049837856289,2.40867105088935,1.87749008870255,3.5674358238605,5.9677485688741,3.82695841007174,3.46552511125238,2.33337731369624
15-56545000-56928000,5.21458921879504,3.01232720767604,3.98459958932238,2.77143488555643,3.42169644113096,4.5608718304967,5.43605025773196,5.02144235361544,3.31024510906229
15-58028000-58459000,5.4004676162322,2.84119932432432,2.81914483901025,2.125703084161,4.75826321363242,13.7147333979641,4.18789613455297,4.03349226804124,2.87522176227085
15-60850000-62133000,4.09276287020473,2.85937797702438,2.82274469958681,2.08196217904233,4.8457032535764,12.6102146480016,3.86970400899213,3.93292927082764,2.68935196421761
16-12171000-14013000,4.4855641025641,2.58370993008062,2.37615105691494,2.09840782315268,3.85470962180799,6.41186751963722,3.15408507710365,3.10207872301832,2.33994623825938
16-16427000-18765000,4.40584489187174,2.68161034524826,2.56650461724547,1.88818004391315,3.68140647675913,7.61294238734781,3.32053013305505,3.06470531194849,2.1039716272755
16-19580000-21300000,4.01047088142707,3.55495988385421,3.70432837167343,4.1239771979829,3.90262522387197,6.91299810379942,4.16021698274389,4.14146322586887,3.05773388167482
16-22541000-23418000,4.83680795847751,4.8029085517892,3.05668151806323,2.29784933088785,4.64373070411314,9.55199819080542,4.28298899306971,3.94460533862784,2.80384016849003
16-25193000-27211000,4.73437321937322,2.62420613643134,2.56187599702223,2.33885940377925,3.65056643065389,6.32524621458632,3.03584499461787,3.35776291030734,2.45614417291625
16-31505000-35285000,13.0074910097117,5.90506305549979,4.80795242850117,3.92849095994013,6.01362043064597,5.93866386622506,5.54944631984099,5.80386629607958,3.82829479566888
16-47008000-48288000,5.36040378975863,4.70376024827458,3.67209462103753,3.44723421026702,3.68877237957412,5.32767066969599,6.14502548341657,4.25544445157564,2.95211766672238
16-48659000-50088000,5.1405649068068,2.5045871150955,2.56414735718099,1.87476312541536,3.8272639500213,7.91969748233655,2.79392459899309,3.04895459213843,1.98248646760957
16-50378000-53097000,9.87700295811926,2.93003349666418,2.69402482098396,2.4671317791769,3.54550850669166,5.72031001572223,3.35577247364308,3.58838237749078,2.89324859722865
16-5149000-8870000,5.17695769804546,2.54071116954521,2.3429687769536,1.87253645441026,3.63565924513488,6.51373054417095,3.03289027786636,2.99411633135955,1.95449302262795
16-58790000-66379000,8.46321147654017,2.23086323716756,2.05655700525167,1.67161785279119,2.88986697019279,3.93945592153349,3.11497568499543,2.85102766869944,2.16840770399573
16-75703000-80558000,5.59179097128185,2.52315429205723,2.47142478026652,2.10444308481193,3.55659055846961,6.74817022509902,3.15847836192247,3.28533069681468,2.40165546661774
16-81888000-83907000,4.82124434009727,2.85230112404523,2.87052064463004,4.01154490460679,3.93193556956217,7.71138625477936,3.45554674420654,3.92631550668739,3.72874957177115
16-9232000-10607000,5.3952214512122,2.45789231674063,2.27722105904298,1.85879083815756,3.74421166065921,7.38225224469246,2.89527207436796,3.06553358185379,2.34964531680441
17-20990000-22262000,17.8732906276214,10.3720747447505,10.3155875375613,10.1200481069899,9.10394234109066,9.16279254039675,9.27155986208536,10.6185997393309,7.89321422635865
17-25262000-26572000,5.6003993344426,6.80143698854337,4.92934773460513,6.67824623096779,4.67113918128655,5.386602482371,5.59546898070198,6.648178739149,7.09743773359716
17-30749000-33893000,6.15845728869539,3.53224855747892,3.52491102299762,3.90912251821814,3.96789841713814,7.16049933459542,3.83826769548575,4.09061031374726,2.93557181906357
17-49364000-54663000,9.49454679923593,2.58399976163518,2.60433275443661,2.64033211557622,3.16189243027888,4.82379344207935,3.64000216520515,3.56200934315521,3.09990893841361
17-9815000-15784000,5.40762376411191,3.51580035231944,3.06866679194295,3.0796231212823,3.62622487259343,6.54294896972476,4.04056828688009,3.79261969254582,2.87546416420533
18-13140000-15410000,8.69707346191601,4.62910688897506,2.91041768551325,3.02654982407223,3.30176214133631,5.92046481034861,3.71017917380028,3.40416731944227,2.53612660858445
18-24380000-25400000,4.70782746107925,2.17314383172257,2.00144074857399,1.62904153354633,3.09048003477613,5.06874522857056,3.08233050847458,2.9126381329734,2.08408149289505
18-26000000-28545000,6.27705224351691,2.11130498319451,1.97269841269841,1.68380057540333,2.57053813986142,3.271718763836,3.4365845018051,2.94850023523672,2.38823125659979
