Cis,Trans
0.980194202655235,1.15533272898317
0.985540610281728,1.17286322046283
0.978827419931951,1.17089595462779
0.974094891042528,1.14811749490117
0.897916993818002,1.08593968945148
0.973082498330165,1.18211492161354
1.00308269339718,1.18109691061743
1.09166570094195,1.22533357381223
1.125858186603,1.18089984262834
0.942903487867719,1.13086587538189
1.2281716410337,1.23348050311272
0.938893350652159,1.12575046545012
1.07020958007647,1.16974257805702
0.98451286836449,1.14939021860596
1.20376183430268,1.16909894851369
0.929155826188718,1.09952851873051
0.889830092970562,1.0802746842877
0.91842718468481,1.12973581401706
0.933579032712987,1.11482759737623
0.949538858683611,1.14727801949729
0.923098782396225,1.12328105515023
0.979071717046564,1.11982027918108
0.892339214030471,1.2480529413479
