NS_Rep1 NS_Rep2 WGS_Rep1 WGS_Rep2 HiC_Rep1 HiC_Rep2 HiC_Rep3 nHiC_Rep1 nHiC_Rep2 nHiC_Rep3
NS_Rep1 1 0.974246211499152 0.700536974651088 0.716024577386631 0.518615176645973 0.454707346762527 0.448758509498333 0.691434462064714 0.69333653194461 0.680409293582326
NS_Rep2 0.974246211499152 1 0.574243699714694 0.592025154277177 0.376224967617981 0.300702436520022 0.288851248935455 0.717141887518195 0.712235880804221 0.712741278483769
WGS_Rep1 0.700536974651088 0.574243699714694 1 0.996513564036945 0.656427865440303 0.671137185005278 0.706150526266091 0.449388938483128 0.435578143305964 0.411300632847836
WGS_Rep2 0.716024577386631 0.592025154277177 0.996513564036945 1 0.659369963245555 0.670336240959346 0.703956789066221 0.458809651867219 0.446246430913712 0.421573631871196
HiC_Rep1 0.518615176645973 0.376224967617981 0.656427865440303 0.659369963245555 1 0.978420118339178 0.963050213348538 0.525363825294971 0.572177981292582 0.515291483340032
HiC_Rep2 0.454707346762527 0.300702436520022 0.671137185005278 0.670336240959346 0.978420118339178 1 0.989694357912579 0.462674038869201 0.502619389493338 0.447006814914158
HiC_Rep3 0.448758509498333 0.288851248935455 0.706150526266091 0.703956789066221 0.963050213348538 0.989694357912579 1 0.429235173874195 0.462690841966291 0.409106486586781
nHiC_Rep1 0.691434462064714 0.717141887518195 0.449388938483128 0.458809651867219 0.525363825294971 0.462674038869201 0.429235173874195 1 0.989899334032905 0.995078806040798
nHiC_Rep2 0.69333653194461 0.712235880804221 0.435578143305964 0.446246430913712 0.572177981292582 0.502619389493338 0.462690841966291 0.989899334032905 1 0.993727663912718
nHiC_Rep3 0.680409293582326 0.712741278483769 0.411300632847836 0.421573631871196 0.515291483340032 0.447006814914158 0.409106486586781 0.995078806040798 0.993727663912718 1
